P05067
P04629
Q15717
P01106
P05412
O14980
P04637
Q13618
P00533
Q9UBU9
Q13315
Q9HCE1
P62993
P17612
P49736
P03372
P07900
P24941
Q92905
P32121
P02751
Q99496
P12830
P08238
P22694
P63104
Q8IWL3
Q13616
Q99459
P49407
Q9NRC8
Q86VP6
Q13573
P19320
Q01844
P22612
P06748
Q14999
Q9Y4K3
P55072
Q13547
P12931
O75147
Q9NRD1
P60520
P68400
Q09472
Q9H0R8
P38398
Q04206
P62873
P50222
Q00839
P09651
Q00987
Q9H0W5
P13612
P19838
O95166
P18146
P68431
P31749
Q92731
Q12933
Q9P2W3
P60709
P63279
O75530
P28482
O95817
P27694
O60262
Q5S007
Q9Y6K9
P78362
P11021
P15927
Q6IQ23
Q7Z6Z7
P27348
P11142
Q9H492
P25098
P06493
P40337
P62258
Q08379
P27361
Q8TBB1
Q8IVT5
P10275
P00519
P04792
P17252
P35222
P16220
P68104
Q13617
A8MQ03
P36873
